brand_final,size_oz_rounded,STORE,beta_own,beta_cross,promo_theta,opt_price,opt_promo,opt_profit,baseline_profit,profit_lift_abs
Kellogg's,12.0,18,-1.5,0.0,0.43,3.7705,1,205.2451,57.5814,147.6637
Kellogg's,15.0,102,-1.5,0.0,0.43,4.3011,1,540.6222,186.6738,353.9483
Kellogg's,18.0,74,-1.5,0.0,0.43,5.2325,1,235.6885,67.9503,167.7382
Kellogg's,20.0,80,-1.5,0.0,0.43,5.1047,1,246.5274,75.3378,171.1897
Post,16.0,126,-1.5,0.0,0.43,4.054,1,198.174,67.054,131.12
General Mills,12.0,102,-1.5,0.0,0.51,3.9119,1,292.9807,94.7499,198.2307
General Mills,14.0,126,-1.5,0.0,0.51,4.3154,1,263.0801,85.05,178.0301
General Mills,15.0,126,-1.5,0.0,0.51,4.1096,1,222.4343,72.3111,150.1232
General Mills,18.0,126,-1.5,0.0,0.51,5.1995,1,244.7736,69.8643,174.9093
General Mills,20.0,126,-1.5,0.0,0.51,5.1635,1,343.1614,104.6533,238.5081
Kellogg's,12.0,18,-1.5,0.0,0.51,3.7705,1,220.7958,57.5814,163.2144
Kellogg's,15.0,102,-1.5,0.0,0.51,4.3011,1,570.3659,186.6738,383.692
Kellogg's,18.0,74,-1.5,0.0,0.51,5.2325,1,253.009,67.9503,185.0587
Kellogg's,20.0,80,-1.5,0.0,0.51,5.1047,1,263.0876,75.3378,187.7498
Post,16.0,126,-1.5,0.0,0.51,4.054,1,211.6782,67.054,144.6242
General Mills,12.0,102,-1.5,0.5,0.3,3.9119,1,256.264,94.7499,161.5141
General Mills,14.0,126,-1.5,0.5,0.3,4.3154,1,227.9051,85.05,142.8551
General Mills,15.0,126,-1.5,0.5,0.3,4.1096,1,193.7404,72.3111,121.4293
General Mills,18.0,126,-1.5,0.5,0.3,5.1995,1,211.3224,69.8643,141.458
General Mills,20.0,126,-1.5,0.5,0.3,5.1635,1,296.2642,104.6533,191.6109
Kellogg's,12.0,18,-1.5,0.5,0.3,3.7705,1,191.6221,57.5814,134.0407
Kellogg's,15.0,102,-1.5,0.5,0.3,4.3011,1,520.9686,186.6738,334.2948
Kellogg's,18.0,74,-1.5,0.5,0.3,5.2325,1,220.8041,67.9503,152.8537
Kellogg's,20.0,80,-1.5,0.5,0.3,5.1047,1,233.1836,75.3378,157.8458
Post,16.0,126,-1.5,0.5,0.3,4.054,1,187.171,67.054,120.1169
General Mills,12.0,102,-1.5,0.5,0.43,3.9119,1,287.163,94.7499,192.4131
General Mills,14.0,126,-1.5,0.5,0.43,4.3154,1,256.9119,85.05,171.8618
General Mills,15.0,126,-1.5,0.5,0.43,4.1096,1,217.6677,72.3111,145.3566
General Mills,18.0,126,-1.5,0.5,0.43,5.1995,1,238.7234,69.8643,168.8591
General Mills,20.0,126,-1.5,0.5,0.43,5.1635,1,334.6792,104.6533,230.0259
Kellogg's,12.0,18,-1.5,0.5,0.43,3.7705,1,215.7682,57.5814,158.1868
Kellogg's,15.0,102,-1.5,0.5,0.43,4.3011,1,568.3404,186.6738,381.6666
Kellogg's,18.0,74,-1.5,0.5,0.43,5.2325,1,247.7725,67.9503,179.8222
Kellogg's,20.0,80,-1.5,0.5,0.43,5.1047,1,259.1672,75.3378,183.8294
Post,16.0,126,-1.5,0.5,0.43,4.054,1,208.3346,67.054,141.2806
General Mills,12.0,102,-1.5,0.5,0.51,3.9119,1,308.0021,94.7499,213.2522
General Mills,14.0,126,-1.5,0.5,0.51,4.3154,1,276.5685,85.05,191.5185
General Mills,15.0,126,-1.5,0.5,0.51,4.1096,1,233.8387,72.3111,161.5276
General Mills,18.0,126,-1.5,0.5,0.51,5.1995,1,257.3234,69.8643,187.4591
General Mills,20.0,126,-1.5,0.5,0.51,5.1635,1,360.7556,104.6533,256.1023
Kellogg's,12.0,18,-1.5,0.5,0.51,3.7705,1,232.1163,57.5814,174.5349
Kellogg's,15.0,102,-1.5,0.5,0.51,4.3011,1,599.6092,186.6738,412.9353
Kellogg's,18.0,74,-1.5,0.5,0.51,5.2325,1,265.9811,67.9503,198.0308
Kellogg's,20.0,80,-1.5,0.5,0.51,5.1047,1,276.5764,75.3378,201.2386
Post,16.0,126,-1.5,0.5,0.51,4.054,1,222.5312,67.054,155.4771
General Mills,12.0,102,-1.5,0.65,0.3,3.9119,1,260.137,94.7499,165.387
General Mills,14.0,126,-1.5,0.65,0.3,4.3154,1,231.3494,85.05,146.2994
General Mills,15.0,126,-1.5,0.65,0.3,4.1096,1,196.6684,72.3111,124.3573
General Mills,18.0,126,-1.5,0.65,0.3,5.1995,1,214.5161,69.8643,144.6518
General Mills,20.0,126,-1.5,0.65,0.3,5.1635,1,300.7417,104.6533,196.0884
Kellogg's,12.0,18,-1.5,0.65,0.3,3.7705,1,194.5181,57.5814,136.9367
Kellogg's,15.0,102,-1.5,0.65,0.3,4.3011,1,528.842,186.6738,342.1682
Kellogg's,18.0,74,-1.5,0.65,0.3,5.2325,1,224.1411,67.9503,156.1908
Kellogg's,20.0,80,-1.5,0.65,0.3,5.1047,1,236.7077,75.3378,161.3699
Post,16.0,126,-1.5,0.65,0.3,4.054,1,189.9997,67.054,122.9457
General Mills,12.0,102,-1.5,0.65,0.43,3.9119,1,291.503,94.7499,196.753
General Mills,14.0,126,-1.5,0.65,0.43,4.3154,1,260.7946,85.05,175.7446
General Mills,15.0,126,-1.5,0.65,0.43,4.1096,1,220.9573,72.3111,148.6463
General Mills,18.0,126,-1.5,0.65,0.43,5.1995,1,242.3313,69.8643,172.4669
General Mills,20.0,126,-1.5,0.65,0.43,5.1635,1,339.7373,104.6533,235.084
Kellogg's,12.0,18,-1.5,0.65,0.43,3.7705,1,219.0291,57.5814,161.4477
Kellogg's,15.0,102,-1.5,0.65,0.43,4.3011,1,576.9298,186.6738,390.256
Kellogg's,18.0,74,-1.5,0.65,0.43,5.2325,1,251.5171,67.9503,183.5668
Kellogg's,20.0,80,-1.5,0.65,0.43,5.1047,1,263.084,75.3378,187.7462
Post,16.0,126,-1.5,0.65,0.43,4.054,1,211.4832,67.054,144.4291
General Mills,12.0,102,-1.5,0.65,0.51,3.9119,1,312.657,94.7499,217.907
General Mills,14.0,126,-1.5,0.65,0.51,4.3154,1,280.7483,85.05,195.6983
General Mills,15.0,126,-1.5,0.65,0.51,4.1096,1,237.3727,72.3111,165.0617
General Mills,18.0,126,-1.5,0.65,0.51,5.1995,1,261.2124,69.8643,191.3481
General Mills,20.0,126,-1.5,0.65,0.51,5.1635,1,366.2078,104.6533,261.5545
Kellogg's,12.0,18,-1.5,0.65,0.51,3.7705,1,235.6243,57.5814,178.0429
Kellogg's,15.0,102,-1.5,0.65,0.51,4.3011,1,608.6711,186.6738,421.9973
Kellogg's,18.0,74,-1.5,0.65,0.51,5.2325,1,270.0009,67.9503,202.0506
Kellogg's,20.0,80,-1.5,0.65,0.51,5.1047,1,280.7563,75.3378,205.4185
Post,16.0,126,-1.5,0.65,0.51,4.054,1,225.8943,67.054,158.8403
